日期,时间,前收,高,低,价格,开,成交量,成交额,成交笔数
2019/4/15,2019/4/15,2920.52 ,2999.33 ,2924.60 ,2924.93 ,2973.02 ,5843752800.00 ,77706068500.00 ,0.00 
2019/4/16,2019/4/16,2924.93 ,3023.03 ,2909.67 ,3023.03 ,2914.99 ,7076416300.00 ,85299156300.00 ,0.00 
2019/4/17,2019/4/17,3023.03 ,3035.41 ,2996.76 ,3017.42 ,3017.39 ,4996067500.00 ,64317209000.00 ,0.00 
2019/4/18,2019/4/18,3017.42 ,3019.54 ,2993.27 ,3004.92 ,3014.91 ,3967068400.00 ,50009082000.00 ,0.00 
2019/4/19,2019/4/19,3004.92 ,3043.93 ,2989.55 ,3042.43 ,3013.67 ,3994367200.00 ,56035404800.00 ,0.00 
2019/4/22,2019/4/22,3042.43 ,3048.82 ,2962.36 ,2970.49 ,3047.43 ,5675969700.00 ,74865754200.00 ,0.00 
2019/4/23,2019/4/23,2970.49 ,3007.35 ,2964.98 ,2978.85 ,2968.00 ,4106545600.00 ,57398711300.00 ,0.00 
2019/4/24,2019/4/24,2978.85 ,3001.53 ,2933.53 ,2974.85 ,2989.96 ,3542572900.00 ,51081275900.00 ,0.00 
2019/4/25,2019/4/25,2974.85 ,2973.22 ,2924.02 ,2928.00 ,2962.74 ,3893448300.00 ,52302557200.00 ,0.00 
2019/4/26,2019/4/26,2928.00 ,2930.21 ,2892.53 ,2892.86 ,2913.77 ,3656219700.00 ,52261886800.00 ,0.00 
2019/4/29,2019/4/29,2892.86 ,2968.16 ,2899.83 ,2939.41 ,2906.47 ,3924935500.00 ,60772631900.00 ,0.00 
2019/4/30,2019/4/30,2939.41 ,2955.88 ,2919.49 ,2945.24 ,2935.24 ,3212798300.00 ,49535144400.00 ,0.00 
2019/5/6,2019/5/6,2945.24 ,2867.60 ,2768.80 ,2805.04 ,2853.88 ,6243606300.00 ,93816546700.00 ,0.00 
2019/5/7,2019/5/7,2805.04 ,2833.20 ,2777.73 ,2806.26 ,2814.47 ,3541817700.00 ,59334292100.00 ,0.00 
2019/5/8,2019/5/8,2806.26 ,2796.47 ,2750.93 ,2758.24 ,2753.61 ,3039877200.00 ,47867857000.00 ,0.00 
2019/5/9,2019/5/9,2758.24 ,2748.01 ,2686.47 ,2698.78 ,2740.35 ,3075868100.00 ,52817873500.00 ,0.00 
2019/5/10,2019/5/10,2698.78 ,2798.87 ,2698.81 ,2793.76 ,2731.58 ,3945327800.00 ,64003883200.00 ,0.00 
2019/5/13,2019/5/13,2793.76 ,2767.48 ,2736.84 ,2741.11 ,2751.76 ,2659097100.00 ,40076136400.00 ,0.00 
2019/5/14,2019/5/14,2741.11 ,2754.69 ,2716.73 ,2724.73 ,2716.73 ,2622201800.00 ,41690816200.00 ,0.00 
2019/5/15,2019/5/15,2724.73 ,2797.15 ,2743.78 ,2783.54 ,2743.78 ,3071892000.00 ,47008658100.00 ,0.00 
2019/5/16,2019/5/16,2783.54 ,2793.76 ,2766.15 ,2791.41 ,2777.85 ,2894630200.00 ,39573600000.00 ,0.00 
2019/5/17,2019/5/17,2791.41 ,2792.51 ,2728.93 ,2735.21 ,2792.08 ,3007206300.00 ,42881486600.00 ,0.00 
2019/5/20,2019/5/20,2735.21 ,2746.66 ,2697.61 ,2715.43 ,2726.07 ,3120264600.00 ,41320624100.00 ,0.00 
2019/5/21,2019/5/21,2715.43 ,2764.48 ,2712.04 ,2739.79 ,2717.87 ,2696905100.00 ,38322653800.00 ,0.00 
2019/5/22,2019/5/22,2739.79 ,2745.86 ,2714.65 ,2725.73 ,2739.11 ,2316872900.00 ,31594205700.00 ,0.00 
2019/5/23,2019/5/23,2725.73 ,2713.94 ,2679.54 ,2685.93 ,2710.57 ,2781015600.00 ,37242029900.00 ,0.00 
2019/5/24,2019/5/24,2685.93 ,2722.34 ,2692.53 ,2702.03 ,2693.88 ,2123707600.00 ,29272238800.00 ,0.00 
2019/5/27,2019/5/27,2702.03 ,2731.30 ,2667.38 ,2722.33 ,2696.26 ,2724384800.00 ,38602911000.00 ,0.00 
2019/5/28,2019/5/28,2722.33 ,2759.78 ,2716.31 ,2748.80 ,2719.06 ,3467005600.00 ,50583998900.00 ,0.00 
2019/5/29,2019/5/29,2748.80 ,2780.31 ,2724.85 ,2755.81 ,2728.44 ,2494085700.00 ,42312700100.00 ,0.00 
2019/5/30,2019/5/30,2755.81 ,2752.69 ,2721.88 ,2742.96 ,2748.43 ,2439840500.00 ,33563876800.00 ,0.00 
2019/5/31,2019/5/31,2742.96 ,2762.39 ,2728.95 ,2728.95 ,2740.30 ,2218815200.00 ,30748522000.00 ,0.00 
2019/6/3,2019/6/3,2728.95 ,2762.08 ,2723.93 ,2743.06 ,2737.81 ,2709222000.00 ,36382740300.00 ,0.00 
2019/6/4,2019/6/4,2743.06 ,2746.51 ,2713.80 ,2721.31 ,2744.70 ,2227583200.00 ,31497303900.00 ,0.00 
2019/6/5,2019/6/5,2721.31 ,2747.23 ,2717.93 ,2719.59 ,2741.94 ,2576625300.00 ,35126727100.00 ,0.00 
2019/6/6,2019/6/6,2719.59 ,2727.70 ,2701.92 ,2706.76 ,2727.70 ,2139031200.00 ,29226456000.00 ,0.00 
2019/6/10,2019/6/10,2706.76 ,2752.88 ,2712.16 ,2743.37 ,2717.91 ,2708808100.00 ,39536245700.00 ,0.00 
2019/6/11,2019/6/11,2743.37 ,2816.99 ,2750.54 ,2812.90 ,2750.54 ,4085031500.00 ,61099051300.00 ,0.00 
2019/6/12,2019/6/12,2812.90 ,2805.01 ,2790.18 ,2796.73 ,2802.53 ,2644523000.00 ,36655472000.00 ,0.00 
2019/6/13,2019/6/13,2796.73 ,2804.76 ,2771.86 ,2794.54 ,2798.02 ,2345288700.00 ,32358595700.00 ,0.00 
2019/6/14,2019/6/14,2794.54 ,2816.18 ,2781.72 ,2785.61 ,2798.40 ,2612483000.00 ,35432680800.00 ,0.00 
2019/6/17,2019/6/17,2785.61 ,2813.45 ,2785.47 ,2793.70 ,2785.47 ,2047785100.00 ,29172435000.00 ,0.00 
2019/6/18,2019/6/18,2793.70 ,2809.87 ,2785.38 ,2806.45 ,2800.83 ,2167640400.00 ,28833695200.00 ,0.00 
2019/6/19,2019/6/19,2806.45 ,2879.23 ,2842.42 ,2842.74 ,2872.07 ,4116011000.00 ,61700813900.00 ,0.00 
2019/6/20,2019/6/20,2842.74 ,2954.03 ,2846.44 ,2942.63 ,2847.32 ,5736036900.00 ,87264861500.00 ,0.00 
2019/6/21,2019/6/21,2942.63 ,2958.23 ,2929.90 ,2938.77 ,2939.65 ,4656020500.00 ,68751725100.00 ,0.00 
2019/6/24,2019/6/24,2938.77 ,2958.02 ,2931.67 ,2949.52 ,2942.51 ,2901601800.00 ,48517969600.00 ,0.00 
2019/6/25,2019/6/25,2949.52 ,2946.71 ,2875.37 ,2910.12 ,2946.02 ,3816559500.00 ,64510972000.00 ,0.00 
2019/6/26,2019/6/26,2910.12 ,2915.24 ,2891.00 ,2903.49 ,2896.76 ,2402466000.00 ,36749515100.00 ,0.00 
2019/6/27,2019/6/27,2903.49 ,2952.91 ,2914.96 ,2937.13 ,2917.20 ,3347248700.00 ,54015595800.00 ,0.00 
2019/6/28,2019/6/28,2937.13 ,2937.29 ,2911.67 ,2930.60 ,2932.69 ,2370867100.00 ,37348147100.00 ,0.00 
2019/7/1,2019/7/1,2930.60 ,3011.91 ,2978.75 ,3002.94 ,2984.65 ,4262271400.00 ,67658868000.00 ,0.00 
2019/7/2,2019/7/2,3002.94 ,3003.88 ,2988.47 ,2999.08 ,3000.78 ,3462948800.00 ,50202955900.00 ,0.00 
2019/7/3,2019/7/3,2999.08 ,2990.05 ,2953.70 ,2964.73 ,2990.05 ,3391896500.00 ,52948819100.00 ,0.00 
2019/7/4,2019/7/4,2964.73 ,2974.80 ,2939.97 ,2953.27 ,2966.33 ,3292883400.00 ,49240940100.00 ,0.00 
2019/7/5,2019/7/5,2953.27 ,2967.98 ,2937.60 ,2961.92 ,2952.71 ,2384534500.00 ,37972405700.00 ,0.00 
2019/7/8,2019/7/8,2961.92 ,2944.97 ,2877.74 ,2897.51 ,2944.97 ,3373258800.00 ,48931992100.00 ,0.00 
2019/7/9,2019/7/9,2897.51 ,2902.14 ,2872.03 ,2881.55 ,2894.33 ,2137470000.00 ,33052158100.00 ,0.00 
2019/7/10,2019/7/10,2881.55 ,2897.58 ,2870.67 ,2878.78 ,2896.70 ,1891152100.00 ,30567386000.00 ,0.00 
2019/7/11,2019/7/11,2878.78 ,2918.94 ,2879.64 ,2887.83 ,2897.47 ,2115726600.00 ,37057602500.00 ,0.00 
